"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.833253958E0,1.028556107E1,-7.300318909E-1,-2.962938538E0
1.853362958E0,9.926757202E0,-7.993377686E-1,-2.864293671E0
1.873471958E0,9.402247925E0,-4.941224670E-1,-3.073408813E0
1.893580958E0,9.478140106E0,3.787124634E-2,-3.311713257E0
1.913689958E0,1.010698242E1,7.878117371E-1,-3.421884155E0
1.933799958E0,1.038630157E1,1.554068298E0,-3.707041168E0
1.953908958E0,1.068912186E1,2.298919373E0,-3.989503784E0
1.974017958E0,1.090751770E1,2.743195496E0,-3.618275757E0
1.994126958E0,1.093206665E1,2.539469147E0,-2.926115112E0
2.014235958E0,1.034738251E1,1.646126862E0,-2.896027679E0
2.034344958E0,9.710007935E0,1.832189941E-1,-4.337979126E0
2.054453958E0,1.106948090E1,-1.150058441E0,-5.044060822E0
2.074562958E0,1.155237671E1,-5.635780334E-1,-6.267915802E0
2.094671958E0,1.007150620E1,-9.460327148E-1,-6.620432739E0
2.114780958E0,8.055947571E0,-3.138972473E0,-5.991291046E0
2.134889958E0,7.288044434E0,-5.023852844E0,-3.429218903E0
2.154999958E0,7.443421326E0,-5.893394623E0,-1.662442932E0
2.175108958E0,7.958500214E0,-4.586163025E0,-1.695973206E0
2.195217958E0,9.419013062E0,-1.528920593E0,-2.979853363E0
2.215326958E0,1.052760773E1,2.299218750E-1,-4.128414917E0
2.235435958E0,9.786947937E0,1.320553894E0,-4.839735718E0
2.255544958E0,9.079818420E0,1.802850952E0,-5.165308685E0
2.275653958E0,7.876171417E0,4.158352661E-1,-4.521647186E0
2.295762958E0,6.732998657E0,-1.391356659E0,-3.174598389E0
2.315871958E0,6.328539734E0,-2.383044434E0,-1.898651733E0
2.335980958E0,6.720873871E0,-2.822530518E0,-1.171314240E0
2.356089958E0,7.687713318E0,-2.477947083E0,-1.138981476E0
2.376199958E0,8.421337738E0,-1.617236938E0,-1.829046478E0
2.396308958E0,9.242530060E0,-6.798861694E-1,-2.627037048E0
2.416417958E0,9.757908325E0,8.277786255E-2,-3.299887848E0
2.436526958E0,9.849966888E0,5.544470215E-1,-3.608695679E0
2.456635958E0,1.003737717E1,6.027964783E-1,-3.472179565E0
2.476744958E0,1.031998947E1,4.583468628E-1,-2.917732544E0
2.496853958E0,1.045979874E1,2.927911377E-1,-2.607876892E0
2.516962958E0,1.085348007E1,-6.292913818E-1,-2.416275330E0
2.537071958E0,1.127889542E1,-1.800605621E0,-1.537901917E0
2.557180958E0,1.107771378E1,-1.805844727E0,-6.227050781E-1
2.577289958E0,1.043794418E1,-1.616488495E0,-1.883383484E0
2.597399417E0,1.130913254E1,-1.950444031E0,-4.762196960E0
2.617508417E0,1.379022308E1,-3.223546600E0,-4.974305878E0
2.637617417E0,1.114193024E1,-3.353027344E0,-5.181924133E0
2.657726417E0,7.789950714E0,-2.761756897E0,-5.437742157E0
2.677835417E0,5.652246094E0,-1.371448059E0,-5.651797028E0
2.697944417E0,4.972808990E0,1.360670471E-1,-5.881419525E0
2.718053417E0,5.507048035E0,1.219214630E0,-5.491779785E0
2.738162417E0,7.472311249E0,-3.453318787E-1,-5.094056854E0
2.758271417E0,8.943451996E0,-2.454296265E0,-4.543202362E0
2.778380417E0,9.863289185E0,-4.049978027E0,-3.548520813E0
2.798489417E0,1.032253418E1,-4.187691650E0,-2.955304413E0
2.818598417E0,9.477691040E0,-3.193309479E0,-2.702629852E0
2.838708417E0,8.164621582E0,-1.620979156E0,-2.830763397E0
2.858817417E0,6.990014191E0,8.187973022E-2,-3.202141113E0
2.878926417E0,6.691684570E0,1.222507782E0,-3.630101166E0
2.899035417E0,6.912625122E0,2.054777069E0,-3.563938751E0
2.919144417E0,7.643405457E0,2.296524353E0,-3.324436798E0
2.939253417E0,8.723858643E0,1.755848694E0,-3.350183258E0
2.959362417E0,9.352551270E0,1.026565247E0,-3.581302643E0
2.979471417E0,9.580976257E0,4.299060059E-1,-3.626957703E0
