"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.832715125E0,9.836045837E0,-2.563119965E0,-1.349743195E0
1.852824125E0,8.246201935E0,-1.231489105E0,-1.674418030E0
1.872933125E0,7.602091370E0,-2.285746765E-1,-1.300944672E0
1.893042125E0,7.342381439E0,7.680528259E-1,-9.720785522E-1
1.913151125E0,7.626939697E0,1.107995911E0,-6.277944946E-1
1.933260125E0,8.546627197E0,8.607101440E-1,-4.026626587E-1
1.953369125E0,9.331744537E0,4.150868225E-1,-2.311193848E-1
1.973477125E0,9.431137848E0,4.535568237E-2,-3.772155762E-2
1.993586125E0,9.347162476E0,3.126997375E-1,1.550775146E-1
2.013695125E0,9.462123413E0,4.752616882E-1,1.559756470E-1
2.033804125E0,9.497150574E0,4.004173279E-1,2.909948730E-1
2.053913125E0,9.527387695E0,4.900808716E-1,6.688092041E-1
2.074022125E0,9.498797150E0,6.771917725E-1,8.801696777E-1
2.094131125E0,9.417815552E0,5.408253479E-1,2.853067017E-1
2.114239125E0,9.488768005E0,-2.395019531E-3,-2.624043274E-1
2.134348125E0,1.004231689E1,-2.185455322E-1,3.737727356E-1
2.154457125E0,1.102247864E1,-2.255809021E-1,1.897154846E0
2.174566125E0,1.144100830E1,-7.779322815E-1,2.588866425E0
2.194675125E0,1.107352249E1,-1.696272583E0,2.000140686E0
2.214784125E0,9.862840118E0,-1.642534332E0,8.996292114E-1
2.234893125E0,9.453441467E0,-1.768272858E0,-1.969604187E0
2.255001125E0,1.142588974E1,-3.002905426E0,-4.376299438E0
2.275110125E0,1.285766235E1,-3.049009552E0,-4.091591492E0
2.295219125E0,1.040336609E1,-2.865790558E0,-1.695524139E0
2.315328125E0,8.598419495E0,-3.225941620E0,-1.399589539E-1
2.335437125E0,9.832752686E0,-3.329376526E0,-6.683601379E-1
2.355546125E0,1.230246689E1,-2.553988953E0,-1.027014313E0
2.375655125E0,1.317575089E1,-7.144642639E-1,-4.731660461E-1
2.395763125E0,1.153995255E1,7.491920471E-1,1.115180969E-1
2.415871833E0,1.020787262E1,1.049018555E0,-3.568579102E-1
2.435980833E0,9.111552429E0,-1.561253357E-1,-9.680369568E-1
2.456089833E0,7.817493439E0,-1.683399353E0,-4.514611816E-1
2.476198833E0,6.541247406E0,-3.119063873E0,5.182223511E-1
2.496307833E0,6.010151825E0,-3.276536407E0,1.204395447E0
2.516416833E0,6.208190002E0,-2.795137482E0,1.499431915E0
2.536525833E0,7.233258362E0,-2.530038757E0,1.503772888E0
2.556633833E0,8.221054230E0,-2.546205139E0,1.211430817E0
2.576742833E0,8.809031525E0,-2.516117706E0,8.647517395E-1
2.596851833E0,9.000483398E0,-1.978735199E0,7.090754700E-1
2.616960833E0,9.079968109E0,-1.049168243E0,8.554710388E-1
2.637069833E0,9.064999237E0,-8.189469910E-1,9.975256348E-1
2.657178833E0,9.479936371E0,-1.048719177E0,1.463955688E0
2.677287833E0,1.023840912E1,-1.375938721E0,1.743424530E0
2.697395833E0,1.116558105E1,-1.455273743E0,1.690285034E0
2.717504833E0,1.097921860E1,-1.685345306E0,1.255289612E0
2.737613833E0,1.092398346E1,-1.995650024E0,1.867067413E0
2.757722833E0,1.126991409E1,-2.151775360E0,2.742746429E0
2.777831833E0,1.091275681E1,-1.972897339E0,3.280428314E0
2.797940833E0,9.816735992E0,-1.601220245E0,2.263143768E0
2.818049833E0,9.389823761E0,-1.997895355E0,-2.791694641E-1
2.838158833E0,1.133487900E1,-3.684887238E0,-1.733245697E0
2.858266833E0,1.161644348E1,-5.050796814E0,-2.926713867E0
2.878375833E0,9.761051788E0,-4.614454193E0,-3.367247772E0
2.898484833E0,8.486152954E0,-2.724933472E0,-3.464844818E0
2.918593833E0,9.032067719E0,-1.247655487E0,-2.557731171E0
2.938702833E0,9.741592255E0,-9.925859070E-1,-1.046922913E0
2.958811833E0,1.061667252E1,-1.034947815E0,-2.531236267E-1
2.978920833E0,1.133966904E1,-1.609153748E0,-1.029858398E-1
2.999029833E0,1.158426041E1,-2.473905487E0,-1.639091492E-1
3.019137833E0,1.036130356E1,-2.897674255E0,-4.531077576E-1
3.039246833E0,8.993597717E0,-2.423460388E0,-6.231541443E-1
3.059355833E0,7.778724060E0,-1.797162781E0,-6.764433289E-1
3.079464833E0,7.295079803E0,-8.918453979E-1,-7.475454712E-1
3.099573833E0,7.612719269E0,-4.999603271E-2,-8.183482361E-1
3.119682833E0,8.447383575E0,-1.002914429E-2,-7.643106079E-1
3.139791833E0,9.307794342E0,-2.505789185E-1,-5.402265930E-1
3.159900833E0,9.779613190E0,-6.024971008E-1,-6.137237549E-1
3.180008833E0,9.786648560E0,-7.029382324E-1,-8.756790161E-1
3.200117833E0,9.569001160E0,-4.816983032E-1,-1.163081360E0
3.220226833E0,9.363628235E0,-3.206332397E-1,-1.014440460E0
3.240335833E0,9.223220215E0,-4.546046448E-1,-6.973997498E-1
3.260444833E0,9.386680298E0,-5.510041809E-1,-4.601431274E-1
3.280553833E0,9.700577545E0,-6.623725891E-1,-3.463796997E-1
3.300662833E0,9.931696930E0,-8.824150085E-1,-2.796185303E-1
3.320771833E0,1.012689102E1,-1.234183502E0,-1.751358032E-1
3.340879833E0,9.925709381E0,-1.575324097E0,-3.203338623E-2
3.360988833E0,9.535919952E0,-1.713486786E0,3.379971313E-1
3.381097833E0,9.241033173E0,-1.478026428E0,5.674699402E-1
3.401206833E0,8.917256470E0,-1.329535217E0,2.498304749E-1
3.421311708E0,8.361462250E0,-1.708247681E0,-7.111711121E-1
3.441420708E0,8.338559875E0,-2.719394989E0,-1.371448059E0
3.461529708E0,9.586065674E0,-3.654949493E0,-1.805545349E0
3.481638708E0,1.172272247E1,-3.528761902E0,-3.084934845E0
3.501746708E0,1.269120850E1,-2.854563904E0,-4.387077026E0
3.521855708E0,1.180550034E1,-3.663781128E0,-3.702251129E0
3.541964708E0,1.089943451E1,-4.212839355E0,-2.104773102E0
3.562073708E0,1.060604462E1,-4.038152618E0,-2.243085480E0
3.582182708E0,1.024694138E1,-3.907174988E0,-2.383194122E0
3.602291708E0,9.313632202E0,-3.775299225E0,-1.674867096E0
3.622400708E0,8.391849060E0,-3.549568634E0,-1.139280853E0
3.642509708E0,8.051756287E0,-3.467389526E0,-1.184935913E0
