"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.714576125E0,7.369930148E-1,5.671959519E-1,-1.871268004E-1
1.734685125E0,6.958251595E-1,2.345743477E-1,-5.464584827E-1
1.754794125E0,8.426797390E-1,-4.471936524E-1,-7.036790252E-1
1.774902125E0,1.144339204E0,-8.235955834E-1,-6.090349555E-1
1.795011125E0,1.604823589E0,-6.546142101E-1,-4.083311260E-1
1.815120125E0,2.021555662E0,-4.515654743E-1,-2.677695453E-1
1.835229125E0,2.207836866E0,-3.072275519E-1,-2.983726561E-1
1.855338125E0,2.112347364E0,-2.582411170E-1,-3.396994770E-1
1.875447125E0,1.913521171E0,-2.622673213E-1,-3.706735969E-1
1.895556125E0,1.751504540E0,-2.708024383E-1,-3.549433649E-1
1.915664125E0,1.673814416E0,-2.609926462E-1,-2.417629659E-1
1.935773125E0,1.601251721E0,-1.951024532E-1,-6.343832612E-2
1.955882125E0,1.511350870E0,-1.077323630E-1,9.182211012E-2
1.975991125E0,1.418101668E0,2.112675691E-3,1.415323466E-1
1.996100125E0,1.261610985E0,4.300455377E-2,1.184425503E-1
2.016209125E0,1.111844659E0,2.767945640E-3,8.368510008E-2
2.036318125E0,1.033153415E0,-1.216219366E-2,5.901302770E-2
2.056426125E0,1.000064373E0,3.064095974E-2,3.582951054E-2
2.076535125E0,9.818413854E-1,3.827500157E-3,1.530760620E-2
2.096644125E0,9.158522487E-1,-7.545697689E-2,3.096071817E-2
2.116753125E0,9.008961916E-1,-3.980950266E-2,8.983787894E-2
2.136862125E0,9.351665974E-1,1.060203016E-1,8.687637001E-2
2.156971125E0,1.113377571E0,2.225753367E-1,-5.001394078E-2
2.177080125E0,1.325206757E0,2.051388621E-1,-2.653387487E-1
2.197188125E0,1.494943857E0,2.634722888E-1,-4.058674276E-1
2.217297125E0,1.612126231E0,-6.292416900E-2,-4.757369161E-1
2.237406125E0,1.620665908E0,-7.907317877E-1,-5.129566789E-1
2.257515125E0,1.527096033E0,-8.603388071E-1,-5.850402713E-1
2.277624125E0,1.380069494E0,-1.091796532E-1,-3.989406824E-1
2.297733125E0,1.304060340E0,4.061887860E-1,-2.204117477E-1
2.317842125E0,1.338955760E0,2.158325613E-1,-5.656729639E-2
2.337950125E0,1.279853225E0,4.290367663E-2,1.882592738E-1
2.358059125E0,1.304207921E0,4.925227761E-1,4.401986897E-1
2.378168125E0,1.355272532E0,7.770501375E-1,6.057755947E-1
2.398277125E0,1.217427731E0,3.887966275E-1,6.805979013E-1
2.418385833E0,9.369853139E-1,-8.126007020E-2,6.908973455E-1
2.438494833E0,6.884895563E-1,-1.048318967E-1,5.937951207E-1
2.458603833E0,5.931785703E-1,4.514378309E-2,5.069646835E-1
2.478712833E0,6.311860085E-1,5.856482685E-2,4.273008108E-1
2.498820833E0,7.393217087E-1,-9.427864850E-2,3.552656770E-1
2.518929833E0,8.782569766E-1,-3.307889700E-1,2.963608801E-1
2.539038833E0,1.049092412E0,-4.421761632E-1,2.129303664E-1
2.559147833E0,1.159006119E0,-3.967652619E-1,1.645189524E-1
2.579256833E0,1.170562863E0,-3.343284130E-1,6.096697599E-2
2.599365833E0,1.067655802E0,-2.419159859E-1,-7.753948867E-2
2.619474833E0,9.097124934E-1,-1.644390374E-1,-1.975917220E-1
2.639582833E0,7.548068762E-1,-1.497563869E-1,-2.180363983E-1
2.659691833E0,6.338682771E-1,-1.859876066E-1,-9.888625890E-2
2.679800833E0,5.548690557E-1,-1.660520136E-1,3.954012692E-2
2.699909833E0,5.490126610E-1,-1.095062643E-1,6.237945706E-2
2.720018833E0,4.981215000E-1,-1.808321290E-2,1.310158987E-2
2.740127833E0,3.924080431E-1,2.504299879E-1,-3.414240479E-2
2.760236833E0,3.262522817E-1,6.343407035E-1,-5.309120938E-2
2.780345833E0,3.355270922E-1,7.463178635E-1,-8.862213790E-2
2.800453833E0,4.938706458E-1,2.647133470E-1,-1.279542893E-1
2.820562833E0,4.765240252E-1,-5.949383974E-1,2.526352648E-3
2.840671833E0,5.909104943E-1,-6.463876367E-1,1.023114920E-1
2.860780833E0,8.990402222E-1,-2.307781875E-1,1.604418159E-1
