"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.737145708E0,8.589249104E-2,-9.796090424E-2,6.307594478E-2
1.757260708E0,9.982348233E-2,-1.099347323E-1,2.433596738E-2
1.777374708E0,1.100921035E-1,-8.551329374E-2,-6.258318573E-2
1.797489708E0,1.234212220E-1,-6.937959790E-2,-1.633907557E-1
1.817604708E0,9.797255695E-2,-1.026915759E-1,-2.301153094E-1
1.837718708E0,4.253922775E-2,-1.264791638E-1,-2.509638369E-1
1.857833708E0,-1.758535951E-2,-1.274978071E-1,-2.168959528E-1
1.877948708E0,-9.949866682E-2,-1.203109324E-1,-1.475673765E-1
1.898062708E0,-2.034198642E-1,-1.896128953E-1,-9.805563837E-2
1.918177708E0,-3.128499985E-1,-2.870900333E-1,-1.011642665E-1
1.938292708E0,-4.140915275E-1,-2.665467858E-1,-1.346557587E-1
1.958406708E0,-5.915859938E-1,-4.747786373E-2,-1.153516117E-2
1.978521708E0,-7.225525379E-1,-2.037077844E-1,3.261929750E-1
1.998636708E0,-7.645595670E-1,-3.829113245E-1,5.469541550E-1
2.018750708E0,-6.474778652E-1,-2.953626215E-1,6.374509335E-1
2.038865708E0,-5.083090067E-1,-1.629641652E-1,5.737535954E-1
2.058979958E0,-3.277960122E-1,-9.472884238E-2,4.009818733E-1
2.079094958E0,-6.860672683E-2,-1.623465717E-1,1.873600483E-1
2.099209958E0,1.912958920E-1,-3.548150361E-1,1.535110269E-2
2.119323958E0,4.054473639E-1,-3.742251098E-1,-1.042119861E-1
2.139438958E0,5.585629940E-1,-2.872194946E-1,-1.357252896E-1
2.159552958E0,5.832781196E-1,-2.672182024E-1,-1.261838973E-1
2.179667958E0,4.758872390E-1,-2.354675531E-1,-1.243498400E-1
2.199782958E0,2.328908741E-1,-1.863872558E-1,-1.099078953E-1
2.219896958E0,-2.032854222E-2,-1.486295462E-1,-8.259519935E-2
2.240011958E0,-2.003021985E-1,-6.486351043E-2,-7.673701644E-2
2.260125958E0,-2.898219824E-1,4.468019307E-2,-1.026408970E-1
2.280240958E0,-3.163234591E-1,1.374879628E-1,-1.571328342E-1
2.300355958E0,-3.214627206E-1,1.604822576E-1,-1.995649636E-1
2.320469958E0,-3.519662619E-1,7.294371724E-2,-1.854562163E-1
2.340584958E0,-3.995852470E-1,8.674608544E-4,-1.226281598E-1
2.360698958E0,-4.657310843E-1,-2.188022248E-2,1.010390464E-2
2.380813958E0,-5.315071940E-1,5.310567096E-2,1.633489281E-1
2.400927958E0,-5.440587997E-1,9.623030573E-2,2.368444502E-1
2.421042958E0,-4.857352972E-1,5.427530035E-2,2.581994534E-1
2.441157958E0,-4.072000384E-1,1.707030647E-2,2.547971606E-1
2.461271958E0,-3.646646440E-1,5.091738328E-2,2.355724722E-1
2.481386958E0,-3.248702288E-1,8.921633661E-2,2.270815670E-1
2.501500958E0,-3.270689845E-1,-1.663722470E-2,2.165409029E-1
2.521615958E0,-3.235107660E-1,-9.090755880E-2,2.130339444E-1
2.541729958E0,-3.230217695E-1,-1.303956099E-2,2.344615608E-1
2.561844958E0,-3.292715549E-1,9.641932696E-2,2.656517625E-1
2.581958958E0,-4.036915600E-1,1.073201448E-1,2.753195763E-1
2.602073958E0,-4.199874401E-1,2.013021410E-1,1.775451750E-1
2.622187958E0,-2.566813827E-1,7.339740992E-1,-1.924243718E-1
2.642302958E0,-6.118992716E-2,9.720244408E-1,-6.979503632E-1
